school,color,logos,lat,lng
Georgia,#CC0000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",33.94982149,-83.3734417
Georgia Southern,#003775,"['http://a.espncdn.com/i/teamlogos/ncaa/500/290.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png']",32.41221168,-81.7831707
Georgia State,#1e539a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",33.75761738,-84.40106034
Georgia Tech,#00223e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",33.77255692,-84.39285278
Hawai'i,#003420,"['http://a.espncdn.com/i/teamlogos/ncaa/500/62.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png']",21.37278299,-157.9299688
Houston,#C90822,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']",29.72176796,-95.34909841
Idaho,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/70.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/70.png']",46.72634961,-117.01755190000002
Illinois,#f77329,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",40.09930573,-88.23598623
Indiana,#7D110C,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",39.18090913,-86.52557373
Iowa,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",41.65838894,-91.55147552
Iowa State,#660015,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",42.01400541,-93.63580942
Kansas,#0022B4,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",38.96294599,-95.246315
Kansas State,#633194,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",39.20186362,-96.59379244
Kent State,#002445,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png']",41.13908683,-81.31343946
